time,ceiling_price,floor_price,reference_price,open_price,close_price,match_price,price_change,percent_price_change,highest_price,lowest_price,average_price,total_match_volume,total_match_value,total_deal_volume,total_deal_value,total_volume,total_value,foreign_net_trading_volume,foreign_net_trading_value,foreign_buy_value_matched,foreign_buy_volume_matched,foreign_sell_value_matched,foreign_sell_volume_matched,foreign_buy_value_deal,foreign_buy_volume_deal,foreign_sell_value_deal,foreign_sell_volume_deal,foreign_buy_value_total,foreign_buy_volume_total,foreign_sell_value_total,foreign_sell_volume_total,foreign_total_room,foreign_current_room,foreign_holding_volume,total_trade,total_buy_trade,total_buy_trade_volume,total_sell_trade,total_sell_trade_volume,reference_price_adjusted,open_price_adjusted,close_price_adjusted,price_change_adjusted,percent_price_change_adjusted,highest_price_adjusted,lowest_price_adjusted,unmatched_buy_trade_volume,unmatched_sell_trade_volume,dif_volume_buy_sell,average_volume_buy_order,average_volume_sell_order
2016-01-07,24700,21500,23100,22900,22900,22900,-200,-0.0086580087,23000,22700,22844.57478005865,102300,2337000000,0,0,102300,2337000000,-2000,-45800000,0,0,45800000,2000,0,0,0,0,0,0,45800000,2000,69370357,7,69370350,,85.0,196260.0,97.0,295260.0,12825.9118016401,12714.8649462148,12714.8649462148,,,12770.3883739275,12603.8180907892,93960.0,192960.0,-99000.0,2308.9411764705883,3043.917525773196
2016-01-08,24500,21300,22900,22800,22700,22700,-200,-0.0087336245,22900,22700,22744.228248815405,99190,2256000000,0,0,99190,2256000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,65.0,272940.0,57.0,235810.0,12714.8649462146,12659.341518502,12603.8180907891,,,12714.8649462146,12603.8180907891,173750.0,136620.0,37130.0,4199.076923076923,4137.017543859649
2016-01-11,24200,21200,22700,22600,22700,22700,0,0.0,22700,22400,22589.30068757337,119260,2694000000,0,0,119260,2694000000,-1000,-22500000,0,0,22500000,1000,0,0,0,0,0,0,22500000,1000,69370357,7,69370350,,78.0,260600.0,54.0,194450.0,12603.8180907891,12548.2946630764,12603.8180907891,,,12603.8180907891,12437.2478076509,141340.0,75190.0,66150.0,3341.025641025641,3600.925925925926
2016-01-12,24200,21200,22700,22600,23600,23600,900,0.0396475771,23700,22500,23222.043682675714,336060,7804000000,0,0,336060,7804000000,2000,47000000,47000000,2000,0,0,0,0,0,0,47000000,2000,0,0,69370357,2007,69368350,,158.0,677270.0,89.0,386580.0,12603.8180907893,12548.2946630764,13103.5289402039,,,13159.0523679167,12492.7712353639,341210.0,50520.0,290690.0,4286.518987341772,4343.595505617977
2016-01-13,25200,22000,23600,23500,23600,23600,0,0.0,23700,23400,23532.59765757227,147710,3476000000,0,0,147710,3476000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,101.0,339060.0,66.0,271320.0,13103.5289402039,13048.005512491,13103.5289402039,,,13159.0523679167,12992.4820847785,191350.0,123610.0,67740.0,3357.029702970297,4110.909090909091
2016-01-14,25200,22000,23600,23500,23400,23400,-200,-0.0084745763,23600,23300,23467.874794069194,121400,2849000000,0,0,121400,2849000000,1000,23500000,23500000,1000,0,0,0,0,0,0,23500000,1000,0,0,69370357,1007,69369350,,71.0,233010.0,61.0,247500.0,13103.5289402037,13048.005512491,12992.4820847783,,,13103.5289402037,12936.9586570656,111610.0,126100.0,-14490.0,3281.830985915493,4057.377049180328
2016-01-15,25000,21800,23400,23400,23000,23000,-400,-0.0170940171,23500,23000,23293.21136254213,103850,2419000000,0,0,103850,2419000000,-1000,-23200000,0,0,23200000,1000,0,0,0,0,0,0,23200000,1000,69370357,7,69370350,,72.0,233360.0,72.0,247970.0,12992.4820847783,12992.4820847783,12770.3883739274,,,13048.0055124909,12770.3883739274,129510.0,144120.0,-14610.0,3241.1111111111113,3444.027777777778
2016-01-18,24600,21400,23000,22900,22600,22600,-400,-0.0173913043,22900,22500,22689.284648293702,201020,4561000000,0,0,201020,4561000000,-100,-2265000,0,0,2265000,100,0,0,0,0,0,0,2265000,100,69370357,7,69370350,,69.0,348180.0,83.0,353200.0,12770.3883739273,12714.8649462148,12548.2946630764,,,12714.8649462146,12492.7712353637,147160.0,152180.0,-5020.0,5046.086956521739,4255.421686746988
2016-01-19,24100,21100,22600,22600,22900,22900,300,0.0132743363,23000,22600,22812.26626776365,160440,3660000000,0,0,160440,3660000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,78.0,364400.0,65.0,261600.0,12548.2946630766,12548.2946630764,12714.8649462148,,,12770.3883739275,12548.2946630766,203960.0,101160.0,102800.0,4671.794871794872,4024.6153846153848
2016-01-20,24500,21300,22900,22800,22700,22700,-200,-0.0087336245,22900,22600,22787.721227877213,100010,2279000000,0,0,100010,2279000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,1007,69369350,,64.0,207250.0,50.0,213470.0,12714.8649462146,12659.341518502,12603.8180907891,,,12714.8649462146,12548.2946630764,107240.0,113460.0,-6220.0,3238.28125,4269.4
2016-01-21,24200,21200,22700,22900,22800,22800,100,0.0044052863,22900,22700,22825.13395031661,102650,2343000000,0,0,102650,2343000000,600,13840000,25190000,1100,11350000,500,0,0,0,0,25190000,1100,11350000,500,69370357,1107,69369250,,48.0,248800.0,57.0,178130.0,12603.8180907893,12714.8649462148,12659.341518502,,,12714.8649462148,12603.8180907893,146150.0,75480.0,70670.0,5183.333333333333,3125.0877192982457
2016-01-22,24300,21300,22800,22900,22900,22900,100,0.0043859649,22900,22700,22794.720751621804,268220,6114000000,0,0,268220,6114000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,68.0,570170.0,66.0,335230.0,12659.3415185019,12714.8649462148,12714.8649462148,,,12714.8649462148,12603.8180907892,301950.0,67010.0,234940.0,8384.85294117647,5079.242424242424
2016-01-25,24500,21300,22900,22900,23500,23500,600,0.0262008734,23500,22800,23127.04730372301,283910,6566000000,0,0,283910,6566000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,117.0,548580.0,73.0,342990.0,12714.8649462148,12714.8649462148,13048.005512491,,,13048.0055124911,12659.341518502,264670.0,59080.0,205590.0,4688.717948717948,4698.493150684932
