time,ceiling_price,floor_price,reference_price,open_price,close_price,match_price,price_change,percent_price_change,highest_price,lowest_price,average_price,total_match_volume,total_match_value,total_deal_volume,total_deal_value,total_volume,total_value,foreign_net_trading_volume,foreign_net_trading_value,foreign_buy_value_matched,foreign_buy_volume_matched,foreign_sell_value_matched,foreign_sell_volume_matched,foreign_buy_value_deal,foreign_buy_volume_deal,foreign_sell_value_deal,foreign_sell_volume_deal,foreign_buy_value_total,foreign_buy_volume_total,foreign_sell_value_total,foreign_sell_volume_total,foreign_total_room,foreign_current_room,foreign_holding_volume,total_trade,total_buy_trade,total_buy_trade_volume,total_sell_trade,total_sell_trade_volume,reference_price_adjusted,open_price_adjusted,close_price_adjusted,price_change_adjusted,percent_price_change_adjusted,highest_price_adjusted,lowest_price_adjusted,unmatched_buy_trade_volume,unmatched_sell_trade_volume,dif_volume_buy_sell,average_volume_buy_order,average_volume_sell_order,year,month,dayofweek
2016-01-07,-0.658008658008658,-0.6567164179104478,-0.6574074074074074,-0.6728110599078341,-0.6851851851851852,-0.6851851851851852,-0.36363636363636365,-0.0086580087,-0.6846846846846847,-0.6635071090047393,-0.6872381450122802,-0.5230709480546502,-0.4268301525108571,0.0,0.0,-0.5870582197578939,-0.4723694469336479,-0.019020446980504042,-0.01502715387018114,-0.16794253851242794,-0.18775303643724697,-0.15000475800772703,-0.16457886300219665,0.0,0.0,0.0,0.0,-0.23384937525744887,-0.26650989613952575,-0.21753075114861284,-0.22598493433771083,-0.5812160859238898,-0.2141862701038405,-0.8507166163853195,0.0,-0.3323029366306028,-0.5557213432676887,-0.3241082410824108,-0.4858838888662233,-0.7193146093964625,-0.7254693968796647,-0.7314485908037003,0.0,0.0,-0.7326147602226111,-0.7240891684748237,-0.5323009428069208,-0.4445351022057295,-0.12131446449661232,0.04169265429520781,0.3361871134080819,-0.8,-1.0,0.5
2016-01-08,-0.6753246753246753,-0.6766169154228856,-0.6759259259259259,-0.6820276497695853,-0.7037037037037037,-0.7037037037037037,-0.36363636363636365,-0.0087336245,-0.6936936936936937,-0.6635071090047393,-0.6965585365143729,-0.5247964491296206,-0.42801065042301534,0.0,0.0,-0.5887036527554389,-0.47351084438014945,0.0,0.0,-0.16794253851242794,-0.18775303643724697,-0.15581587144497525,-0.17306012365678033,0.0,0.0,0.0,0.0,-0.23384937525744887,-0.26650989613952575,-0.22218959225069934,-0.2326511565895607,-0.5812160859238898,-0.2141862701038405,-0.8507166163853195,0.0,-0.3426069036579083,-0.5309779574767426,-0.34870848708487084,-0.5032084719979951,-0.7259021151399739,-0.7287437258238898,-0.7380702891307929,0.0,0.0,-0.7358695463096109,-0.7240891684748297,-0.4743451922657873,-0.48136917627399217,0.16074425543376913,1.3687180810308381,1.2267555526976122,-0.8,-1.0,1.0
2016-01-11,-0.7012987012987013,-0.6865671641791045,-0.6944444444444444,-0.7004608294930875,-0.7037037037037037,-0.7037037037037037,0.0,0.0,-0.7117117117117117,-0.6919431279620853,-0.7109485259574551,-0.5136611415493446,-0.4216272172683817,0.0,0.0,-0.5780850546008635,-0.467338843373141,-0.009510223490252021,-0.007382335416573705,-0.16794253851242794,-0.18775303643724697,-0.1529610668087725,-0.1688194933294885,0.0,0.0,0.0,0.0,-0.23384937525744887,-0.26650989613952575,-0.21990086026823327,-0.22931804546363577,-0.5812160859238898,-0.2141862701038405,-0.8507166163853195,0.0,-0.3359093250901597,-0.5349598742824321,-0.3505535055350554,-0.5152613695308812,-0.7324896208834853,-0.7352923837123398,-0.7380702891307929,0.0,0.0,-0.742379118483593,-0.7340602270051512,-0.4978863111408109,-0.5215310003778859,0.2208731326274786,0.7662979264098966,0.7899919742510558,-0.8,-1.0,-1.0
2016-01-12,-0.7012987012987013,-0.6865671641791045,-0.6944444444444444,-0.7004608294930875,-0.6203703703703703,-0.6203703703703703,1.6363636363636365,0.0396475771,-0.6216216216216216,-0.6824644549763034,-0.6521780596394415,-0.39337540744850547,-0.3471538304643226,0.0,0.0,-0.463380915093541,-0.39533216495804224,0.019020446980504042,0.015420878425731739,-0.16121235032491057,-0.17763157894736842,-0.15581587144497525,-0.17306012365678033,0.0,0.0,0.0,0.0,-0.22880766854318277,-0.2586713697824809,-0.22218959225069934,-0.2326511565895607,-0.5812160859238898,-0.2140844327440107,-0.8507467042572503,0.0,-0.2946934569809377,-0.40050725876973614,-0.3290282902829028,-0.45927193038694,-0.7324896208834735,-0.7352923837123398,-0.7082726466589272,0.0,0.0,-0.7098312576136768,-0.7307365408283614,-0.3527100251318332,-0.5376598006488131,0.6861156579574416,1.430109355627939,1.3950583703270385,-0.8,-1.0,-0.5
2016-01-13,-0.6147186147186147,-0.6069651741293532,-0.6111111111111112,-0.6175115207373272,-0.6203703703703703,-0.6203703703703703,0.0,0.0,-0.6216216216216216,-0.5971563981042654,-0.6233331699087689,-0.49787641306609337,-0.41023031149914996,0.0,0.0,-0.5630327816811986,-0.4563194260501259,0.0,0.0,-0.16794253851242794,-0.18775303643724697,-0.15581587144497525,-0.17306012365678033,0.0,0.0,0.0,0.0,-0.23384937525744887,-0.26650989613952575,-0.22218959225069934,-0.2326511565895607,-0.5812160859238898,-0.2141862701038405,-0.8507166163853195,0.0,-0.3240597630087584,-0.5096421115130316,-0.34317343173431736,-0.4928603484149974,-0.7028458450376811,-0.70582342321435,-0.7082726466589272,0.0,0.0,-0.7098312576136768,-0.7008233652373973,-0.46156136961227245,-0.489874879213788,0.22416758179143442,0.7775340490903665,1.2054845218571355,-0.8,-1.0,0.0
2016-01-14,-0.6147186147186147,-0.6069651741293532,-0.6111111111111112,-0.6175115207373272,-0.6388888888888888,-0.6388888888888888,-0.36363636363636365,-0.0084745763,-0.6306306306306306,-0.6066350710900474,-0.6293447621333453,-0.5124738192662459,-0.41936823978215293,0.0,0.0,-0.5769528273935495,-0.465154687765638,0.009510223490252021,0.007710439212865869,-0.16457744441866926,-0.18269230769230768,-0.15581587144497525,-0.17306012365678033,0.0,0.0,0.0,0.0,-0.2313285219003158,-0.2625906329610033,-0.22218959225069934,-0.2326511565895607,-0.5812160859238898,-0.21413535142392562,-0.8507316603212849,0.0,-0.33951571354971666,-0.5438627174484755,-0.3462484624846248,-0.49980183824172236,-0.702845845037693,-0.70582342321435,-0.7148943449860138,0.0,0.0,-0.7130860437006825,-0.7041470514141811,-0.519480802475413,-0.4882469622022514,0.053788616538549196,0.7247385767181871,1.1618709951298898,-0.8,-1.0,0.5
2016-01-15,-0.6320346320346321,-0.6268656716417911,-0.6296296296296297,-0.6267281105990783,-0.6759259259259259,-0.6759259259259259,-0.7272727272727273,-0.0170940171,-0.6396396396396397,-0.6350710900473934,-0.6455678596611022,-0.5222109716346487,-0.42563508055040056,0.0,0.0,-0.5862381486497926,-0.4712139581606463,-0.009510223490252021,-0.007612008073978219,-0.16794253851242794,-0.18775303643724697,-0.15287225066453508,-0.1688194933294885,0.0,0.0,0.0,0.0,-0.23384937525744887,-0.26650989613952575,-0.21982965527322323,-0.22931804546363577,-0.5812160859238898,-0.2141862701038405,-0.8507166163853195,0.0,-0.33900051519835134,-0.5437497781549592,-0.33948339483394835,-0.4996648734970305,-0.7094333507811984,-0.7090977521585692,-0.7281377416401689,0.0,0.0,-0.7163408297876765,-0.7141181099445024,-0.5064790737539405,-0.47646581178141195,0.05353997886579782,0.6961499902444777,0.6621642031306068,-0.8,-1.0,1.0
2016-01-18,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.6728110599078341,-0.7129629629629629,-0.7129629629629629,-0.7272727272727273,-0.0173913043,-0.6936936936936937,-0.6824644549763034,-0.7016618107486907,-0.4682987724530134,-0.39441746909554837,0.0,0.0,-0.5348276263438585,-0.4410303367976049,-0.0009510223490252021,-0.000743155098601753,-0.16794253851242794,-0.18775303643724697,-0.15552848777826414,-0.17263606062405115,0.0,0.0,0.0,0.0,-0.23384937525744887,-0.26650989613952575,-0.2219591932311311,-0.2323178454769682,-0.5812160859238898,-0.2141862701038405,-0.8507166163853195,0.0,-0.3405461102524472,-0.5066992362076921,-0.3327183271832718,-0.4689993414035681,-0.7226083622682211,-0.7254693968796647,-0.7413811382943302,0.0,0.0,-0.7358695463096109,-0.7307365408283734,-0.4936589334224327,-0.47119632940671907,0.07341027287984585,1.963386402128713,1.3232215585450773,-0.8,-1.0,-1.0
2016-01-19,-0.70995670995671,-0.6965174129353234,-0.7037037037037037,-0.7004608294930875,-0.6851851851851852,-0.6851851851851852,0.5454545454545454,0.0132743363,-0.6846846846846847,-0.6729857819905213,-0.6902390258569765,-0.49081350995214645,-0.4075486866122719,0.0,0.0,-0.5562976170320832,-0.45372662197412233,0.0,0.0,-0.16794253851242794,-0.18775303643724697,-0.15581587144497525,-0.17306012365678033,0.0,0.0,0.0,0.0,-0.23384937525744887,-0.26650989613952575,-0.22218959225069934,-0.2326511565895607,-0.5812160859238898,-0.2141862701038405,-0.8507166163853195,0.0,-0.3359093250901597,-0.5014653066624503,-0.34378843788437885,-0.49569289590096577,-0.7357833737552262,-0.7352923837123398,-0.7314485908037003,0.0,0.0,-0.7326147602226111,-0.7274128546515896,-0.452402051222453,-0.5045522835949114,0.2968112218469635,1.7006036288013284,1.1351794719413675,-0.8,-1.0,-0.5
2016-01-20,-0.6753246753246753,-0.6766169154228856,-0.6759259259259259,-0.6820276497695853,-0.7037037037037037,-0.7037037037037037,-0.36363636363636365,-0.0087336245,-0.6936936936936937,-0.6729857819905213,-0.6925188194715811,-0.524341493862265,-0.4276754473121556,0.0,0.0,-0.5882698086853466,-0.473186743870649,0.0,0.0,-0.16794253851242794,-0.18775303643724697,-0.15581587144497525,-0.17306012365678033,0.0,0.0,0.0,0.0,-0.23384937525744887,-0.26650989613952575,-0.22218959225069934,-0.2326511565895607,-0.5812160859238898,-0.21413535142392562,-0.8507316603212849,0.0,-0.34312210200927357,-0.5521750494512764,-0.35301353013530135,-0.5097186685861158,-0.7259021151399739,-0.7287437258238898,-0.7380702891307929,0.0,0.0,-0.7358695463096109,-0.7274128546516015,-0.5226549675319959,-0.4965107658270799,0.07092389615233201,0.6941632029699029,1.334609944247812,-0.8,-1.0,0.0
